Figure S4a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995,Angola,Benin,Burkina Faso,Central African Republic,Cote d'Ivoire,Cameroon,Congo,Djibouti,Algeria,Egypt,Ethiopia,Gabon,Ghana,Guinea,The Gambia,Guinea-Bissau,Kenya,Lesotho,Morocco,Madagascar,Mali,Mozambique,Mauritania,Mauritius,Malawi,Namibia,Niger,Nigeria,Rwanda,Senegal,Chad,Togo,Tunisia,Tanzania,Uganda,South Africa,Zambia,Zimbabwe,Albania,Argentina,Antigua and Barbuda,Australia,Austria,Bangladesh,Bulgaria,Bolivia,Brazil,Barbados,Canada,Switzerland,China,Colombia,Cuba,Germany,Dominica,Denmark,Dominican Republic,Spain,France,United Kingdom,Greece,Grenada,Hungary,Indonesia,India,Ireland,Iran,Iraq,Iceland,Jordan,Japan,Cambodia,South Korea,Kuwait,Laos,Saint Lucia,Sri Lanka,Mexico,Myanmar,Mongolia,Malaysia,Netherlands,Norway,Pakistan,Peru,Philippines,Portugal,Paraguay,Romania,Saudi Arabia,Slovakia,Sweden,Thailand,Trinidad and Tobago,Turkey,Uruguay,United States,Venezuela,Vietnam
Cheese,0.219178082,0.082191781,0.273972603,0,0.219178082,0.082191781,0.301369863,0.739726027,2.109589041,5.863013699,0.547945205,1.698630137,0.02739726,0.410958904,0.465753425,0.02739726,0.301369863,0,3.589041096,0.054794521,0.02739726,0.164383562,1.424657534,5.671232877,0.02739726,0.438356164,1.698630137,0.246575342,0.164383562,0.520547945,0.136986301,0.219178082,2.273972603,0.465753425,0.02739726,1.205479452,0.136986301,0.98630137,4.02739726,4.136986301,3.616438356,8.520547945,26.90410959,0.410958904,1.342465753,0.273972603,1.424657534,27.17808219,22.95890411,35.28767123,0.164383562,1.178082192,0.904109589,36.05479452,1.04109589,26.24657534,1.260273973,3.726027397,34.95890411,8.657534247,6.684931507,1.287671233,29.42465753,0.273972603,3.863013699,32.63013699,5.698630137,1.643835616,36.08219178,2.465753425,1.808219178,0,3.890410959,7.643835616,0,4.602739726,0.164383562,1.643835616,0.630136986,1.479452055,1.424657534,9.01369863,29.45205479,8.821917808,0.136986301,0.438356164,12.57534247,0,2.02739726,3.780821918,17.12328767,39.12328767,0.794520548,2.630136986,6.082191781,3.095890411,5.506849315,0.712328767,0.273972603
Yoghurt,54.8997394,9.365946375,35.39061793,19.20647789,2.220447126,339.9171194,7.625267125,12.04888267,5.998228855,22.19903605,51.77104215,4.537590793,21.51219533,10.54863692,39.45266274,10.66698633,39.08392558,60.7251013,34.60324023,41.17433196,8.677718755,54.0894245,58.12483005,1.311226879,6.08194989,42.17544991,52.11398265,24.90247609,44.36885387,33.75819067,6.42097337,9.30148681,8.207514835,37.67499198,13.58938004,5.103179335,66.3138617,30.28078538,89.14268699,51.7470902,17.6446522,65.89708266,86.13055299,4.235887068,654.8011782,13.11052095,15.36875459,23.21190813,13.04249972,44.26765217,103.6873268,8.639372079,39.8883595,21.27506718,77.50864405,21.56300588,82.67856922,6.083108735,63.94373483,125.3055256,72.27293183,88.17787453,100.4625369,117.2707824,2.36208825,11.51734627,73.44954706,114.6724786,44.02223313,78.65460884,51.00416875,71.35856607,0.748435259,27.24942416,95.01148347,11.04845447,21.60964286,74.93799139,27.2998727,120.3231458,52.38112746,9.349710099,228.7611018,78.87962223,8.97501794,10.84741102,5.958834444,118.6240329,12.85582798,106.5195869,94.51568956,112.9717351,54.22716685,7.615025893,21.56572243,100.0988848,23.26575693,24.30231687,19.54131352
Total Milk,51.83561644,17.53424658,60.93150685,43.83561644,24.57534247,40.43835616,28.43835616,149.9178082,271.5068493,111.0136986,41.97260274,70.24657534,8.109589041,36.30136986,43.50684932,45.89041096,220.9041096,49.01369863,90.68493151,101.2328767,138.6027397,18.82191781,379.6712329,302.4109589,10.35616438,120.3013699,158.2191781,34.30136986,50.02739726,76.60273973,68.73972603,13.61643836,213.890411,62.21917808,59.34246575,154.739726,25.47945205,52.2739726,744.7945205,583.5068493,382.8219178,656.0821918,748.1369863,37.8630137,432.3013699,101.0684932,313.6986301,500.8767123,560.9041096,891.8630137,17.53424658,315.2054795,260.2191781,640.9863014,375.7808219,659.9178082,205.1506849,443.6986301,745.9178082,591.8082192,703.9726027,256,424.3835616,20.65753425,158.0273973,678.2465753,151.2054795,50.05479452,703.1506849,176.4931507,226.4109589,13.7260274,56.71232877,517.5068493,12.16438356,271.4246575,85.42465753,249.2876712,36.1369863,307.5616438,163.8356164,1040.931507,722.8767123,348.3835616,139.2328767,59.31506849,459.1232877,225.8082192,526.5753425,190.5479452,372.630137,950.0547945,70.54794521,287.0410959,403.5068493,534.4931507,712.1917808,244.7945205,10.46575342
Fruits,72.05479452,82.35616438,19.17808219,111.4246575,38.76712329,305.7260274,95.91780822,22.2739726,98.43835616,310.8767123,9.315068493,68.38356164,81.69863014,107.5342466,13.69863014,85.56164384,121.4520548,50.2739726,134.739726,158.4931507,62.93150685,56.98630137,29.91780822,85.64383562,76.05479452,61.75342466,15.7260274,79.28767123,1005.369863,40.08219178,30.43835616,31.83561644,177.7808219,59.47945205,94.57534247,90.84931507,27.94520548,29.09589041,110.4657534,259.3150685,411.369863,238.0821918,330.7123288,40.21917808,183.4520548,162.0547945,320.8767123,481.3150685,332,319.4520548,80.98630137,148.4931507,213.2054795,219.9178082,673.4794521,184.9589041,251.8082192,250.1369863,259.0410959,219.0958904,394.0273973,480.3287671,147.7808219,176.6849315,138.2191781,159.2328767,388.5753425,165.6438356,228.2465753,201.5342466,141.3972603,77.39726027,190.5205479,287.1232877,101.0136986,554.8767123,309.8356164,276.8493151,59.89041096,11.67123288,198.0273973,405.1506849,268.5205479,183.6164384,114.739726,285.4246575,325.7808219,248.3835616,131.7260274,254.7671233,139.890411,225.0136986,426.3013699,162.2191781,308.1917808,156.630137,304.630137,224.0821918,168.4383562
Refined Grains,635.8470936,546.2828759,206.9287008,240.9585389,436.4428311,300.2503219,788.8168633,161.8157596,380.644475,411.902367,260.5585924,386.9995444,656.9784329,321.4501872,257.0659818,144.3702627,345.6609305,377.6074836,270.3012147,472.7877,229.21714,393.8992322,215.8901619,230.3858352,404.396927,307.7596809,444.287567,373.3743098,150.1592379,297.8491549,173.7484601,529.4235916,509.9631938,728.2459441,317.6180526,154.620465,433.2495072,427.8542838,491.5804123,305.2923405,195.6073569,150.2597997,119.4901383,204.2041603,309.7220148,318.5327716,359.1029817,339.6107643,172.9342355,184.7381293,321.368615,288.0449964,189.7894835,194.7443083,247.7409249,85.85553035,182.4204389,217.940974,241.4035444,181.3847278,161.5063391,201.4227638,125.220576,377.3820137,227.909664,259.6799847,415.9538684,327.5560448,130.9711832,368.6722414,225.0114788,208.2047093,286.7362768,269.2584341,221.8488731,189.382032,266.006404,431.4902693,149.013939,244.5062761,244.9048754,115.15449,103.0420653,312.6652235,291.9417427,252.4495698,254.507809,489.0384226,478.9579907,351.8065198,179.0914978,138.1317487,174.6057092,204.2389203,642.1185935,294.3770193,273.1821135,308.1120779,172.3217561
Whole Grains,59.38633102,49.51342545,122.6673266,255.5105022,25.12347027,122.0578973,72.09313673,57.45287058,187.1330592,197.2080439,5.153051423,30.81881174,80.58759449,72.51625111,26.29703194,93.20069621,14.17468597,150.2718314,403.2402921,34.972437,61.72587367,366.0525486,14.97668746,76.15731546,133.5245799,35.7197712,9.49626866,290.6347313,8.255282623,11.12933827,75.00756729,33.52106596,80.56927199,38.7837819,14.67797484,312.4839186,216.648027,10.99667513,40.05972474,16.42135812,17.52209514,91.96567975,137.9699987,3.372004128,127.8278482,27.64051608,9.371401871,150.9311535,82.15288776,95.92104876,4.832480907,22.89993516,17.65750277,61.47569167,34.71263673,212.0120039,5.741067973,46.69765613,56.63618159,72.3956832,229.7757157,17.51956501,115.568876,21.38401371,68.27663738,85.69508377,43.13325486,6.599982614,105.257036,19.19789558,2.332082887,1.575564664,7.767284872,12.88677135,0.158798163,82.27687209,11.44030835,23.20110061,1.02934863,120.8419431,4.08690544,99.48674291,209.6879347,64.59326968,23.98099699,26.53960825,54.25410883,101.5884267,8.088310621,17.64498703,142.1086392,118.5726348,2.412098992,48.72560021,10.34373523,31.94407663,49.8154207,18.98847007,2.306189083
Nuts And Seeds,2.164383562,27.06849315,33.75342466,27.56164384,17.31506849,19.94520548,19.39726027,0.684931507,2.356164384,5.671232877,3.561643836,26.52054795,9.726027397,6.410958904,23.97260274,13.28767123,2.904109589,0,5.123287671,0.95890411,8.328767123,7.835616438,4.246575342,6.739726027,3.424657534,0.191780822,5.726027397,11.15068493,1.342465753,13.17808219,55.75342466,11.45205479,16.46575342,3.753424658,17.8630137,2.712328767,4.02739726,12,3.589041096,3.561643836,0.821917808,18.35616438,28.24657534,3.452054795,10.90410959,16.4109589,4.109589041,30.84931507,25.26027397,24.08219178,6.849315068,12.60273973,2.356164384,20.95890411,7.616438356,19.36986301,4.383561644,27.50684932,20.57534247,16.21917808,32.90410959,7.479452055,7.260273973,13.91780822,3.095890411,4.739726027,14.65753425,3.315068493,16.46575342,9.726027397,10.68493151,2.301369863,12.1369863,17.94520548,3.452054795,3.424657534,2.410958904,5.506849315,6.876712329,0.602739726,9.342465753,19.45205479,14.98630137,4.191780822,5.97260274,10.30136986,13.39726027,7.01369863,6.493150685,5.04109589,11.8630137,13.80821918,6.301369863,5.890410959,17.83561644,5.479452055,20.46575342,1.616438356,5.506849315
Total Processed Meats,17.35869441,17.7285913,9.79384024,27.68321567,2.023139798,12.99222825,5.707921149,7.721575283,18.54752527,17.36902427,0.923813228,71.08817937,5.521476238,9.951067046,5.601863047,15.42328728,15.34708281,21.6793118,3.799473363,15.38879099,16.47760139,12.23564121,41.48852725,31.90163411,6.887624752,14.79382242,18.8089615,7.505793789,4.19430123,9.838074407,7.205764637,2.072418736,31.14945675,9.55145672,9.429775962,26.96958556,22.71396958,16.43523316,43.48809758,52.15575043,107.0966738,73.49288097,100.7653137,0.434827465,60.5980136,14.1818082,68.85113079,75.13844408,94.96107778,69.78964715,4.214827868,50.061296,12.85171193,143.8044898,50.46099266,115.3114763,36.66515509,110.9860796,120.3078425,98.05980496,15.20330581,36.5171486,100.8563642,17.80695524,4.416272659,134.3811147,17.82936407,6.127377272,62.17615889,30.3387789,17.28464788,11.77818032,4.455475968,111.2920461,14.56884042,46.06766174,1.876643687,36.47114528,5.173922358,176.5532127,70.19981878,92.86569973,43.23711971,6.101069496,11.43419472,44.81867428,47.9337747,37.25128773,71.80415318,80.97150235,130.8956559,62.49406876,15.95393103,35.3210381,4.462055121,81.07506756,137.0290555,44.35148418,7.666858354
Unprocessed Red Meats,16.47692202,15.09332651,34.83629675,55.85103091,46.79877801,27.30914162,47.60714734,38.71678088,35.61685829,40.30220861,21.6789265,99.898122,26.25934568,7.720165831,15.22005476,29.37123327,28.24195829,27.33438683,53.89915677,47.04956518,37.08404244,22.17531769,33.00462343,60.12576315,7.441142372,42.21987621,35.51980562,18.46680895,8.956383701,27.39480231,36.9038244,18.22895113,32.08341996,27.10607753,26.8715939,85.74274321,15.28603042,20.22230108,41.2790257,222.200414,91.17729878,261.4112286,194.0018096,10.05832322,127.3745891,118.2839452,130.8201021,376.7519669,182.3539907,161.9363802,98.9084598,70.3496629,61.12089081,111.5653732,137.1006512,219.5926333,67.47183121,188.4659751,186.5688698,123.6388252,215.6734065,111.647235,182.7874714,14.1656475,8.323453368,145.1805292,50.8829647,11.57125287,152.974526,64.78450877,115.2906946,32.79716214,112.7774007,102.7627485,29.43115958,235.9323383,16.50691796,103.5014575,14.74388586,118.8166503,86.37552368,187.2986838,137.0642501,42.52906749,51.52470939,26.55118873,192.3949924,207.7350136,99.37392902,52.86411409,76.11804275,134.5196299,67.16935664,70.21320848,56.08589008,160.8153434,196.4229993,76.88139253,50.0865663
Fish,28.35616438,23.89041096,6.383561644,12,37.53424658,28.79452055,61.09589041,3.534246575,10.52054795,23.50684932,0.301369863,114.1369863,59.26027397,30.21917808,53.80821918,10.98630137,15.8630137,0.054794521,20.73972603,16.76712329,40.82191781,3.534246575,17.61643836,45.50684932,14.82191781,35.15068493,1.342465753,16.98630137,1.753424658,79.83561644,17.06849315,31.80821918,25.61643836,30.30136986,23.12328767,22.60273973,23.83561644,8.95890411,1.123287671,25.09589041,85.64383562,40.90410959,21.69863014,23.64383562,1.945205479,3.479452055,15.39726027,163.1232877,38.95890411,29.91780822,35.7260274,12.84931507,36.08219178,33.04109589,89.53424658,47.23287671,19.94520548,80.08219178,54.93150685,42.82191781,48.35616438,56.63013699,8.520547945,45.61643836,10.46575342,43.83561644,13.97260274,4.136986301,138.9041096,12.63013699,123.5068493,22.43835616,88.35616438,20.79452055,24.84931507,55.83561644,48.60273973,22.02739726,36.68493151,0.164383562,128.0273973,39.09589041,107.3150685,5.698630137,55.56164384,72.35616438,140.5753425,13.12328767,8.109589041,16.02739726,18.76712329,61.36986301,68.19178082,28.60273973,27.17808219,14.63013699,41.23287671,49.89041096,34.60273973
