"","Angola","Benin","Burkina Faso","Central African Republic","Cote d'Ivoire","Cameroon","Congo","Djibouti","Algeria","Egypt","Ethiopia","Gabon","Ghana","Guinea","The Gambia","Guinea-Bissau","Kenya","Lesotho","Morocco","Madagascar","Mali","Mozambique","Mauritania","Mauritius","Malawi","Namibia","Niger","Nigeria","Rwanda","Senegal","Chad","Togo","Tunisia","Tanzania","Uganda","South Africa","Zambia","Zimbabwe","Albania","Argentina","Antigua and Barbuda","Australia","Austria","Bangladesh","Bulgaria","Bolivia","Brazil","Barbados","Canada","Switzerland","China","Colombia","Cuba","Germany","Dominica","Denmark","Dominican Republic","Spain","France","United Kingdom","Greece","Grenada","Hungary","Indonesia","India","Ireland","Iran","Iraq","Iceland","Jordan","Japan","Cambodia","South Korea","Kuwait","Laos","Saint Lucia","Sri Lanka","Mexico","Myanmar","Mongolia","Malaysia","Netherlands","Norway","Pakistan","Peru","Philippines","Portugal","Paraguay","Romania","Saudi Arabia","Slovakia","Sweden","Thailand","Trinidad and Tobago","Turkey","Uruguay","United States","Venezuela","Vietnam"
"Cheese","0.219178082","0.136986301","0.219178082","0","0.164383562","0.082191781","0.191780822","0.712328767","1.123287671","6.054794521","0.630136986","1.945205479","0.246575342","0.136986301","0.109589041","0","0.191780822","0","5.260273973","0.054794521","0.02739726","0.054794521","2.356164384","5.095890411","0.02739726","1.890410959","2.082191781","0.301369863","0.136986301","0.328767123","0.136986301","0.054794521","3.315068493","1.589041096","0","1.095890411","0.082191781","0.657534247","2.465753425","3.726027397","5.287671233","11.36986301","21.75342466","0.438356164","0.273972603","0.246575342","1.205479452","14.4109589","30.54794521","28.54794521","0.246575342","1.260273973","0.821917808","33.15068493","0.383561644","33.20547945","0.876712329","7.452054795","34.60273973","9.726027397","9.917808219","0.684931507","22.21917808","0.246575342","6.931506849","20.19178082","9.424657534","0.602739726","33.12328767","1.287671233","1.945205479","0.054794521","3.835616438","12.95890411","0","8.684931507","0.246575342","1.863013699","0.98630137","0.712328767","1.232876712","7.698630137","28.79452055","10.05479452","0.219178082","0.520547945","11.01369863","0.02739726","1.534246575","2.876712329","11.53424658","36.21917808","0.493150685","2.02739726","5.479452055","3.04109589","5.917808219","1.150684932","0.273972603"
"Yoghurt","54.8997394","9.365946375","35.39061793","19.20647789","2.220447126","339.9171194","7.625267125","12.04888267","5.998228855","22.19903605","51.77104215","4.537590793","21.51219533","10.54863692","39.45266274","10.66698633","39.08392558","60.7251013","34.60324023","41.17433196","8.677718755","54.0894245","58.12483005","1.311226879","6.08194989","42.17544991","52.11398265","24.90247609","44.36885387","33.75819067","6.42097337","9.30148681","8.207514835","37.67499198","13.58938004","5.103179335","66.3138617","30.28078538","89.14268699","51.7470902","17.6446522","65.89708266","86.13055299","4.235887068","654.8011782","13.11052095","15.36875459","23.21190813","13.04249972","44.26765217","103.6873268","8.639372079","39.8883595","21.27506718","77.50864405","21.56300588","82.67856922","6.083108735","63.94373483","125.3055256","72.27293183","88.17787453","100.4625369","117.2707824","2.36208825","11.51734627","73.44954706","114.6724786","44.02223313","78.65460884","51.00416875","71.35856607","0.748435259","27.24942416","95.01148347","11.04845447","21.60964286","74.93799139","27.2998727","120.3231458","52.38112746","9.349710099","228.7611018","78.87962223","8.97501794","10.84741102","5.958834444","118.6240329","12.85582798","106.5195869","94.51568956","112.9717351","54.22716685","7.615025893","21.56572243","100.0988848","23.26575693","24.30231687","19.54131352"
"Total Milk","41.67123288","24.79452055","57.15068493","47.42465753","26.2739726","40.02739726","25.8630137","154.4657534","323.5342466","149.9726027","80.98630137","97.64383562","20.32876712","33.69863014","62.87671233","40.57534247","301.0410959","48.87671233","106.6027397","77.12328767","230.0821918","12.05479452","399.5342466","330.9589041","15.75342466","191.7260274","167.5068493","20.30136986","41.47945205","76.95890411","62.54794521","14.71232877","259.1780822","103.2054795","102.0273973","163.5616438","20.93150685","76.95890411","799.9178082","507.9726027","334.9315068","587.4246575","629.2876712","48.43835616","436.2739726","110.4109589","331.6438356","580.3835616","551.0684932","841.6438356","62.30136986","316.3287671","236.6849315","682.2739726","340.1369863","812.9589041","143.1780822","437.0684932","704.1917808","679.369863","743.4794521","379.6986301","455.3972603","25.89041096","179.6164384","793.7260274","174.3287671","81.23287671","638.7945205","195.6438356","213.6164384","12.98630137","73.89041096","368.109589","10.82191781","261.6712329","79.12328767","302.1643836","58.35616438","356.3561644","122","990.5479452","711.5068493","433.9452055","133.8630137","35.47945205","587.2328767","175.1780822","666.9589041","248.9315068","364.7945205","1013.424658","70.08219178","272.9315068","368.4109589","503.6164384","706.4931507","187.0410959","30.63013699"
"Fruits","140.5479452","83.28767123","17.50684932","104.3835616","41.36986301","194.6027397","120.7671233","49.50684932","188.7671233","404","21.45205479","68.95890411","119.1780822","116.7945205","14","82.73972603","196.5205479","50.52054795","182.4657534","141.7808219","74.68493151","55.39726027","29.47945205","122.2465753","120.630137","81.61643836","56.98630137","68.4109589","798.109589","41.20547945","26.02739726","25.31506849","206","191.6712329","64.43835616","100.9863014","28.02739726","28.82191781","281.7808219","211.8356164","497.0136986","301.5342466","388.8493151","60.65753425","88.76712329","96.21917808","343.2054795","656.9041096","356.2739726","198.8767123","157.0136986","161.2054795","299.0684932","233.890411","857.5342466","374.5479452","320.7671233","274.1917808","308.2191781","349.8630137","468.9589041","427.0958904","218.9589041","224.2739726","142.630137","298.9041096","468.739726","73.83561644","316.3561644","160.7123288","159.5616438","81.28767123","208.5205479","167.6986301","236.9315068","334","273.7808219","301.4794521","92","34.71232877","170.5479452","334.109589","360.5205479","218.6575342","133.5616438","279.0136986","313.0410959","241.5068493","203.7808219","264.9041096","167.8082192","301.4246575","471.4520548","204.5479452","331.6712329","231.3424658","300.0821918","171.3972603","205.890411"
"Refined Grains","680.8973165","521.1823152","226.428842","245.6986164","462.9825872","302.099538","756.8893889","230.9470428","394.227827","400.462164","330.9853602","425.6482466","650.9275522","355.4478713","274.6279289","139.2478425","322.358235","427.0812401","281.4135929","475.8703997","257.1252776","412.1051213","297.4489925","256.9803127","468.096229","282.6265237","433.4222999","318.9822013","272.7742916","319.5525827","216.2247578","527.4464897","499.1303448","496.466818","405.0492468","161.3211285","392.2213212","408.5293298","382.8729103","291.5691868","177.7767147","131.3692758","146.9940593","223.4007866","266.5589127","298.8421163","371.8224501","331.0385518","208.8441719","183.9525132","285.0185153","265.9161611","323.7671865","227.5743242","237.3505108","106.1007561","142.5814678","206.5325143","257.4378065","215.9006365","152.2525241","159.861442","174.682638","341.8866878","218.543112","242.3535976","425.3355371","375.0225919","115.0147145","395.3851174","214.843269","255.2765738","261.1376855","329.8706061","243.9547371","198.022423","254.8554984","412.3413846","158.6872751","237.8684977","293.0468401","107.5112882","111.6200628","290.8780309","307.4531624","245.8028316","265.0788633","481.7853828","482.1176956","333.2861588","180.8782529","146.801247","218.0283247","219.3110593","588.7953088","350.8870774","240.7450051","333.2838271","210.1387049"
"Whole Grains","63.297752","45.13467109","136.4648566","257.4960412","26.60891967","118.0496401","68.75773444","90.55514893","193.6383374","193.4785209","6.54272195","34.2344931","78.95094099","86.42801911","34.05755053","149.8259931","12.98957326","170.0204037","419.3620235","34.32850444","64.89842098","374.3055637","23.18498007","91.90174213","154.3277436","32.33498312","9.024549425","244.5184836","14.85748926","11.69125295","95.02387239","32.61666096","78.77143597","25.90290802","18.64047922","316.8568167","195.5011445","10.51135511","35.24982942","15.58971731","15.62054557","77.94318996","173.1470366","3.570857194","109.903827","25.22281525","9.53713897","144.4559688","98.81870486","94.91255529","4.128608001","20.98014024","32.45774504","71.85978542","33.22222896","252.6012987","3.942778818","44.19049938","59.97917985","84.84484299","216.4777499","13.95033885","161.9270881","18.81495599","65.71181949","80.10790929","45.89692863","7.474531394","91.35679233","20.63748532","2.277278939","4.5883577","7.553821305","16.12596926","0.216769766","84.6085359","9.965049557","22.10710858","1.436697496","116.0287626","5.493159896","92.72638308","224.4207591","60.42580473","24.25026224","20.81936019","56.31113665","101.9414665","8.121208507","16.32411519","144.1498293","125.2201228","3.815647866","58.15222835","9.44263642","38.09990888","44.0075976","20.31535099","3.899377276"
"Nuts And Seeds","4.876712329","28.46575342","26.65753425","24.46575342","27.50684932","35.04109589","12.2739726","8.98630137","6.109589041","6.465753425","3.780821918","24.73972603","16.32876712","10.4109589","19.04109589","11.67123288","2.328767123","0","8.219178082","1.890410959","9.150684932","7.232876712","2.684931507","8.794520548","12.02739726","4.876712329","19.36986301","24.63013699","0.876712329","14.84931507","63.89041096","16.08219178","16.95890411","10.93150685","20.43835616","2.356164384","8.739726027","11.34246575","11.06849315","2.794520548","8.438356164","25.26027397","26.98630137","4.98630137","13.64383562","27.64383562","3.726027397","30.46575342","21.97260274","28.38356164","10.21917808","2.849315068","3.397260274","22.30136986","21.91780822","29.15068493","1.260273973","34.54794521","22.98630137","22.35616438","42.68493151","10.43835616","9.945205479","17.45205479","4.273972603","10.57534247","18.52054795","1.835616438","22.32876712","13.36986301","12.24657534","8.95890411","16.49315068","18.30136986","7.342465753","12.08219178","4.547945205","11.26027397","12.4109589","7.753424658","9.561643836","28.24657534","20.93150685","2.465753425","5.917808219","7.424657534","20.10958904","11.36986301","8.739726027","6.493150685","9.753424658","15.97260274","6.191780822","12.35616438","24.30136986","4.684931507","29.64383562","2.657534247","20.54794521"
"Total Processed Meats","32.623101","22.64169006","12.19269982","34.12961879","1.933449538","14.9706505","4.992231139","11.50719715","20.94922808","20.61179222","1.080581534","75.13181079","6.449655433","13.11380928","8.646033361","15.4610201","16.66861037","25.16932957","4.724986106","11.02672035","21.5852364","10.46264225","55.19088013","42.97555652","7.453911299","26.50944921","26.39704481","8.052101565","5.609877895","11.0035858","6.892470522","2.956203245","36.45350203","7.417013103","10.37631196","33.12525908","24.5317422","26.23741258","66.03331689","51.15055172","126.9414492","77.08215207","98.8640814","0.492728772","51.76577142","17.91278235","75.22798498","73.79912659","97.83186317","68.05687038","5.915763982","51.00670842","15.47441315","141.1045879","54.27910458","107.8309461","50.43026331","117.4949614","106.6025656","109.1357642","15.19428522","47.42232519","98.46963487","18.05109516","4.387780577","150.0000878","22.76300788","7.474262059","72.24722397","35.70398922","17.74900089","13.51558861","5.689348139","180.96175","17.65315284","45.14568192","2.119964105","47.52884816","16.13381291","138.9695356","66.63762325","77.02785694","48.7493433","5.399876156","12.14572206","57.80834764","54.61674397","23.37891151","80.65325656","93.23740035","128.9900812","72.531706","15.09155638","54.90715891","4.80529013","56.22637203","146.7002377","57.15077125","14.47537773"
"Unprocessed Red Meats","30.9659401","19.27611816","43.36894402","68.85668258","44.72408471","31.46770567","41.63790585","57.69828231","40.22885411","47.82656395","25.35777463","105.580518","30.67363224","10.17386195","23.49095294","29.44308949","30.67385539","31.73478002","67.02843855","33.71300567","48.57914716","18.96201529","43.90501028","80.99704622","8.052938016","75.65493435","49.84953053","19.81091213","11.9791632","30.64024982","35.2993103","26.00270086","37.54649797","21.04874032","29.56889352","105.3130971","16.50935369","32.28313536","62.67901188","217.9179414","108.0722494","274.1781219","190.3413981","11.39768219","108.809571","149.4022861","142.9363986","370.0364898","187.866767","157.9157324","138.823962","71.67822309","73.59408","109.4707546","147.4743201","205.3471361","92.80261341","199.5187373","165.3152426","137.6039619","215.5454408","144.9886337","178.461872","14.35986375","8.269753669","162.0547067","64.96301952","14.11477904","177.752776","76.24121626","118.3879854","37.63509632","144.009282","167.0930445","35.66191566","231.2104825","18.64715918","134.8821107","45.97577613","93.5236151","81.99251373","155.3557047","154.5383279","37.64121973","54.73099027","34.24644688","219.2188725","130.3745131","111.620716","60.87218869","75.00991878","156.1258282","63.5385806","109.1476356","60.40018932","111.5270526","210.2860636","99.06840683","94.56571816"
"Fish","32.60273973","25.42465753","6.931506849","18.82191781","41.91780822","37.64383562","55.53424658","7.424657534","11.91780822","43.50684932","0.356164384","99.5890411","74.38356164","26.10958904","64.46575342","4.602739726","10.24657534","1.534246575","34.05479452","17.94520548","25.67123288","11.75342466","26.10958904","39.94520548","12.95890411","35.64383562","9.561643836","30.02739726","2","72","15.06849315","24.08219178","34.05479452","20.2739726","31.83561644","21.39726027","19.06849315","2.821917808","11.94520548","12.57534247","104.1917808","47.06849315","31.23287671","39.56164384","11.09589041","4.630136986","14.95890411","207.0136986","41.61643836","32.30136986","47.39726027","15.28767123","21.75342466","35.01369863","70.19178082","47.50684932","22.98630137","73.26027397","60.46575342","45.15068493","42.02739726","98.54794521","13.97260274","55.26027397","12.95890411","48.32876712","17.64383562","5.315068493","192.0821918","13.53424658","106.4383562","69.50684932","115.6986301","27.20547945","42.84931507","88.43835616","45.01369863","22.87671233","75.20547945","0.602739726","133.5890411","54.32876712","126.9315068","4.630136986","40.52054795","81.61643836","123.8356164","11.61643836","13.80821918","21.94520548","20.4109589","68.76712329","72.43835616","62.2739726","19.04109589","13.75342466","36.84931507","35.20547945","60.90410959"
